Obręb,Obręb nr,Arkusz,Nr działki,Pełny numer działki,Powierzchnia działki,Jednostka,Data ustanowienia
DĘBIEC (60),60,06,48/1,60/06/48/1,0.2384,Szkoła Podstawowa nr 84 im.Tadeusza Kościuszki   ,2016-05-28T04:00:00+02:00
DĘBIEC (60),60,22,7/7,60/22/7/7,0.2439,Zespół Szkolno-Przedszkolny Nr 3   ,
DĘBIEC (60),60,20,1/3,60/20/1/3,0.4976,Technikum nr 19 im. Marszałka Józefa Piłsudskiego   ,2017-11-24T02:00:00+01:00
WILDA (61),61,20,90,61/20/90,0.1216,Zarząd Zieleni Miejskiej   ,2016-06-25T04:00:00+02:00
DĘBIEC (60),60,07,101/2,60/07/101/2,0.439,Zespół Szkół Mechanicznych im.Komisji Edukacji Narodowej   ,2016-12-19T02:00:00+01:00
DĘBIEC (60),60,07,101/2,60/07/101/2,0.439,Zespół Szkół Budowlano-Drzewnych im.Bolesława Chrobrego   ,2016-12-19T02:00:00+01:00
DĘBIEC (60),60,07,100/7,60/07/100/7,0.43,Zespół Szkół Mechanicznych im.Komisji Edukacji Narodowej   ,
DĘBIEC (60),60,18,20/4,60/18/20/4,2.9487,Generalna Dyrekcja Dróg Krajowych i Autostrad Oddział w Poznaniu   ,
DĘBIEC (60),60,07,81/7,60/07/81/7,0.0072,Bursa Szkolna nr 2   ,
MORASKO (54),54,21,227/69,54/21/227/69,0.0008,Zarząd Dróg Miejskich   ,
MORASKO (54),54,19,249/2,54/19/249/2,0.2979,Zarząd Dróg Miejskich   ,
MORASKO (54),54,21,227/71,54/21/227/71,0.0019,Zarząd Dróg Miejskich   ,
RADOJEWO (55),55,12,59/6,55/12/59/6,0.0004,Zarząd Dróg Miejskich   ,
UMULTOWO (56),56,14,386/179,56/14/386/179,0.1027,Zarząd Dróg Miejskich   ,
